read_id	mapped	blast_identity	gap_compressed_identity	aligned_columns	mismatches	inserted_bases	deleted_bases
46af040d-55d8-a81a-81ce-b20e281f45ff	true	0.9199006519714374	0.9242046163443544	3094	131	44	83
e434e61b-4285-2b15-aacf-fa18c0ecef5d	true	0.9608919737898526	0.9641381460980744	37767	666	301	543
9bac472b-34ad-c6ca-c17c-145d4b8f323f	true	0.9713611329661683	0.9741202461732681	12475	129	91	144
3b40045e-829b-f62f-8f14-d136e0fb393e	true	0.9453675213675213	0.9505018561803933	14156	330	181	288
7c0f5d00-042e-6cee-6754-dcc2a38486f0	true	0.9631025816769477	0.9733317940429462	8548	117	49	157
490990ef-fe3c-273f-f444-93a4cb5e7ef4	true	0.9090720365372639	0.9189926547743966	13685	548	289	477
d3995ccd-74da-17de-d013-cfd8553c1712	true	0.9303402814893996	0.9369337041356419	10783	339	145	298
5407c02f-fcd0-8ed1-88a8-6a3c77b1f0d9	true	0.9731649565903709	0.97521750593198	3747	48	28	26
13dbb6c0-891f-f78f-7713-e4356834e88d	true	0.9770417764395936	0.9788838612368024	2627	31	11	19
0177b62c-f11c-417a-53bd-5e43d02ced3c	true	0.8878980891719745	0.8935897435897436	740	43	18	27
aaeb5ebc-e91a-2aec-9880-6d22ea4c57e0	true	0.9587185831488475	0.9634234116338415	14994	270	120	244
51364e54-af1e-aae1-8f22-ccdc1657c566	true	0.9354624085163007	0.941728064300067	1453	47	16	34
cfb3e044-7e23-5d2a-067f-feaedfa57890	true	0.9480183230432185	0.9539078156312625	19482	442	188	414
56210eb2-93b7-a9ef-e7ac-ad3b3fabd27e	true	0.946365452589519	0.9491368680641183	6323	165	76	108
28d794ac-5be8-0f29-6702-ac2248633e29	true	0.9478040616943326	0.9528898185621391	21436	481	256	417
e959851c-2d5f-b3ce-a77c-3a7267801622	true	0.9228065771306639	0.9296914516944866	7626	274	107	234
bf7d0614-2680-fdfa-521d-07a21adebdfc	true	0.95416628047085	0.9584749313346679	21004	415	208	366
3dabc5bb-6043-cc57-3d19-4513c3c0a69c	true	0.9191461836998707	0.9502897904592065	4368	105	40	230
a02607fe-7333-7d9d-68b5-800c0a6caf97	true	0.905256183745583	0.918131929667376	17123	727	343	646
756970a5-854b-7efb-980e-72ba4d3b247a	true	0.983304347826087	0.9843804407302392	19923	134	77	125
9d02ca94-e109-d15d-4c89-d1431210c635	true	0.9415807560137457	0.9476284584980237	1969	51	19	49
4e313638-3c68-7078-aae8-b055738ae4d7	true	0.9692541856925418	0.9728969963638586	32236	396	226	388
dbd7c934-e218-deb3-7f85-17edb0e80d71	true	0.9244712990936556	0.9272727272727272	319	13	7	5
50fd0a2c-1d08-f7ed-ff74-70f7285a0c9f	true	0.9077701018445979	0.9158912082779435	26667	1175	477	938
bac072ae-e55d-859d-77a1-64a297a225f7	true	0.9700149925037481	0.9783463376277748	16343	168	86	246
b02a50d9-ca28-0947-a436-525baef4ca8e	true	0.9295774647887324	0.9314516129032258	482	20	4	11
08359550-9ad4-2b1e-99a2-0f73cd6036e0	true	0.8718463302752294	0.8854272819915563	6468	386	168	340
9aa51cd5-e054-20ad-ff08-ee4a6f50fcaf	true	0.9496313319927224	0.9544754571703561	10113	196	131	199
5bcbc8eb-c29b-1651-32b2-225bf608b1d2	true	0.9343271361140545	0.9422465088038858	39901	1104	551	1072
ae3a9c1b-2bd8-8993-1859-4d30e433d830	true	0.963900474615274	0.9684971098265895	6793	91	51	109
49b326e7-0256-c643-2d43-318d6e31ee9b	true	0.939625850340136	0.9586466165413534	3383	68	32	113
c53f1587-ab58-c5dd-71c1-8c7234d68043	true	0.9627185747278126	0.9662251655629139	2966	48	25	40
4b98d07c-676d-0187-c68e-e0940fb1ff99	true	0.9461782597196509	0.9513362584762665	7326	171	89	147
9000e814-cf5d-e46f-b5ca-f75eb74f741e	true	0.9701643489254109	0.9723770907247846	3882	45	32	41
85d26fa9-0518-034b-865d-0c28ac1af621	true	0.9459558823529411	0.950849963045085	2636	63	33	51
