k	p_error_free_kmer	coverage	error_free_kmer_coverage
11	0.5304048815555529	10	5.304048815555529
11	0.5304048815555529	30	15.912146446666586
11	0.5304048815555529	50	26.520244077777644
11	0.5304048815555529	100	53.04048815555529
15	0.42117713852369965	10	4.211771385236997
15	0.42117713852369965	30	12.63531415571099
15	0.42117713852369965	50	21.058856926184983
15	0.42117713852369965	100	42.11771385236997
21	0.2980236336454095	10	2.9802363364540954
21	0.2980236336454095	30	8.940709009362285
21	0.2980236336454095	50	14.901181682270476
21	0.2980236336454095	100	29.802363364540952
31	0.16745337250805592	10	1.6745337250805592
31	0.16745337250805592	30	5.023601175241677
31	0.16745337250805592	50	8.372668625402795
31	0.16745337250805592	100	16.74533725080559
