reference,genome_len,error_rate,regime,readlen,target_coverage,effective_coverage,k,assigned_q,ok,n_reads,reads_scored,scored_fraction,reads_dropped,reads_excluded_len,corrected_unjoined,total_bases,injected_errors,total_edits,true_fixes,mis_fixes,over_corrections,correct_positions,recall,precision,over_correction_rate,correction_rate,corrector_runtime_s,null_seed,null_ok,null_reads_scored,null_injected_errors,null_true_fixes,null_recall,null_precision,null_over_correction_rate,null_correction_rate,null_runtime_s,mode,scale_metric_bases,scale_floor_bases,agg_scored_fraction
synthetic_2000bp,2000,0.0,short-low-error,150,10.0,10.05,21,20,true,134,133,0.9925373134328358,0,1,0,19950,0,0,0,0,0,19950,NaN,NaN,0.0,0.0,11.739,20260711,true,115,0,0,NaN,NaN,0.0,0.0,1.144,SMOKE-ONLY,20100.0,1.0e6,0.9235
synthetic_2000bp,2000,0.01,short-low-error,150,10.0,10.05,21,20,true,134,94,0.7014925373134329,0,40,0,14100,188,188,188,0,0,13912,1.0,1.0,0.0,0.013333333333333334,1.128,20260711,true,110,220,0,0.0,NaN,0.0,0.0,1.873,SMOKE-ONLY,20100.0,1.0e6,0.9235
synthetic_2000bp,2000,0.05,short-low-error,150,10.0,10.05,21,20,true,134,134,1.0,0,0,0,20100,1072,173,173,0,0,19028,0.16138059701492538,1.0,0.0,0.008606965174129353,0.614,20260711,true,120,960,0,0.0,NaN,0.0,0.0,3.66,SMOKE-ONLY,20100.0,1.0e6,0.9235
synthetic_2000bp,2000,0.1,short-low-error,150,10.0,10.05,21,20,true,134,134,1.0,0,0,0,20100,2010,37,37,0,0,18090,0.018407960199004977,1.0,0.0,0.0018407960199004975,3.923,20260711,true,115,1725,0,0.0,NaN,0.0,0.0,3.165,SMOKE-ONLY,20100.0,1.0e6,0.9235
