arm,sequencing_tech,wall_seconds,identity,edit_distance,matches,aligned_bases,best_contig_length,best_orientation,n_contigs,total_assembled_bases,largest_contig,n50,k_progression,indel_requested,indel_attempted,indel_completed,indel_truncated,indel_engaged,trace_contract_errors,window_anchor_rejections,window_divergences,assembly_sha256
nanopore,nanopore,100.055834625,0.1,1800,200,2000,200,forward,369,9964,200,26,3;11;31,207,26,26,0,15,0,17,0,d1f69699a5b7674e5af747b655cc93b2cae2e1a5d43f9b06b7a211b74ac5bccb
illumina,illumina,10.224820959,0.0655,1869,131,2000,131,forward,526,13124,131,24,3;11;31,0,0,0,0,0,0,0,0,d36e3b6a10685346aa7b0238b48b4ab7fcefbed88f82cad7d959b0a831cdd311
default_illumina_oracle,default,5.237708625,0.0655,1869,131,2000,131,forward,526,13124,131,24,3;11;31,0,0,0,0,0,0,0,0,d36e3b6a10685346aa7b0238b48b4ab7fcefbed88f82cad7d959b0a831cdd311
