benchmark_schema_version,benchmark_run_id,benchmark_scale,benchmark_dataset_ids,benchmark_git_commit,k,k_class,shared_recovery,distinct_recovery,collision_penalty
1,prime_k_ablation_denovo_local_20260711,local-smoke,"control_nonrepetitive,distinct_repeat_no_collision,palindrome_rich,shared_repeat_collision,tandem_period2_ga,tandem_period3_atg",a029921359d5ac2a5c86b0e418c697c47ebffaa3,9,composite,0.20138888888888892,0.47826086956521746,0.27687198067632857
1,prime_k_ablation_denovo_local_20260711,local-smoke,"control_nonrepetitive,distinct_repeat_no_collision,palindrome_rich,shared_repeat_collision,tandem_period2_ga,tandem_period3_atg",a029921359d5ac2a5c86b0e418c697c47ebffaa3,11,prime,0.6944444444444445,0.6521739130434783,-0.04227053140096626
