graph_id,graph_source,k,window_bases,n_observations,window_start,phase,replicate,elapsed_ms,algorithm,path_available,pair_hmm_path_valid,pair_hmm_valid,truncated,completed_columns,decoded_read_index,terminal_contract_valid,graph_step_trace_aligned,path_length_aligned,corrected_path_aligned,move_counts_aligned,path_trace_aligned,trace_complete,complete,full_decode,frontier_area,edge_expansions,peak_frontier
linear_2001,synthetic_linear,9,1200,1192,1,measurement,3,886.509584,viterbi_indel_pair_hmm,true,true,true,false,1192,1192,true,true,true,true,true,true,true,true,true,259356,376431,219
linear_2001,synthetic_linear,9,1200,1192,1,measurement,4,878.427625,viterbi_indel_pair_hmm,true,true,true,false,1192,1192,true,true,true,true,true,true,true,true,true,259356,376431,219
linear_2001,synthetic_linear,9,1200,1192,1,measurement,5,1016.173708,viterbi_indel_pair_hmm,true,true,true,false,1192,1192,true,true,true,true,true,true,true,true,true,259356,376431,219
linear_10001,synthetic_linear,9,250,242,1,warmup,0,148.147375,viterbi_indel_pair_hmm,true,true,true,false,242,242,true,true,true,true,true,true,true,true,true,51306,74331,219
linear_10001,synthetic_linear,9,250,242,1,measurement,1,176.929166,viterbi_indel_pair_hmm,true,true,true,false,242,242,true,true,true,true,true,true,true,true,true,51306,74331,219
linear_10001,synthetic_linear,9,250,242,1,measurement,2,167.178416,viterbi_indel_pair_hmm,true,true,true,false,242,242,true,true,true,true,true,true,true,true,true,51306,74331,219
linear_10001,synthetic_linear,9,250,242,1,measurement,3,171.24925,viterbi_indel_pair_hmm,true,true,true,false,242,242,true,true,true,true,true,true,true,true,true,51306,74331,219
linear_10001,synthetic_linear,9,250,242,1,measurement,4,175.684542,viterbi_indel_pair_hmm,true,true,true,false,242,242,true,true,true,true,true,true,true,true,true,51306,74331,219
linear_10001,synthetic_linear,9,250,242,1,measurement,5,169.153417,viterbi_indel_pair_hmm,true,true,true,false,242,242,true,true,true,true,true,true,true,true,true,51306,74331,219
linear_10001,synthetic_linear,9,500,492,1,warmup,0,339.540375,viterbi_indel_pair_hmm,true,true,true,false,492,492,true,true,true,true,true,true,true,true,true,106056,153831,219
linear_10001,synthetic_linear,9,500,492,1,measurement,1,350.928791,viterbi_indel_pair_hmm,true,true,true,false,492,492,true,true,true,true,true,true,true,true,true,106056,153831,219
linear_10001,synthetic_linear,9,500,492,1,measurement,2,348.260958,viterbi_indel_pair_hmm,true,true,true,false,492,492,true,true,true,true,true,true,true,true,true,106056,153831,219
linear_10001,synthetic_linear,9,500,492,1,measurement,3,333.68825,viterbi_indel_pair_hmm,true,true,true,false,492,492,true,true,true,true,true,true,true,true,true,106056,153831,219
linear_10001,synthetic_linear,9,500,492,1,measurement,4,347.267292,viterbi_indel_pair_hmm,true,true,true,false,492,492,true,true,true,true,true,true,true,true,true,106056,153831,219
linear_10001,synthetic_linear,9,500,492,1,measurement,5,353.444041,viterbi_indel_pair_hmm,true,true,true,false,492,492,true,true,true,true,true,true,true,true,true,106056,153831,219
linear_10001,synthetic_linear,9,1200,1192,1,warmup,0,926.664666,viterbi_indel_pair_hmm,true,true,true,false,1192,1192,true,true,true,true,true,true,true,true,true,259356,376431,219
linear_10001,synthetic_linear,9,1200,1192,1,measurement,1,911.121083,viterbi_indel_pair_hmm,true,true,true,false,1192,1192,true,true,true,true,true,true,true,true,true,259356,376431,219
linear_10001,synthetic_linear,9,1200,1192,1,measurement,2,883.686834,viterbi_indel_pair_hmm,true,true,true,false,1192,1192,true,true,true,true,true,true,true,true,true,259356,376431,219
linear_10001,synthetic_linear,9,1200,1192,1,measurement,3,920.782125,viterbi_indel_pair_hmm,true,true,true,false,1192,1192,true,true,true,true,true,true,true,true,true,259356,376431,219
linear_10001,synthetic_linear,9,1200,1192,1,measurement,4,927.254625,viterbi_indel_pair_hmm,true,true,true,false,1192,1192,true,true,true,true,true,true,true,true,true,259356,376431,219
linear_10001,synthetic_linear,9,1200,1192,1,measurement,5,939.41175,viterbi_indel_pair_hmm,true,true,true,false,1192,1192,true,true,true,true,true,true,true,true,true,259356,376431,219
fixed_toy_k31_raw,raw_fixed_toy,31,250,220,1,warmup,0,2179.94975,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_raw,raw_fixed_toy,31,250,220,1,measurement,1,132.752458,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_raw,raw_fixed_toy,31,250,220,1,measurement,2,130.15825,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_raw,raw_fixed_toy,31,250,220,1,measurement,3,130.487125,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_raw,raw_fixed_toy,31,250,220,1,measurement,4,133.356334,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_raw,raw_fixed_toy,31,250,220,1,measurement,5,136.045,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_raw,raw_fixed_toy,31,500,470,1,warmup,0,130.900083,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_raw,raw_fixed_toy,31,500,470,1,measurement,1,122.8135,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_raw,raw_fixed_toy,31,500,470,1,measurement,2,134.704708,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_raw,raw_fixed_toy,31,500,470,1,measurement,3,140.510791,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_raw,raw_fixed_toy,31,500,470,1,measurement,4,128.547292,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_raw,raw_fixed_toy,31,500,470,1,measurement,5,159.919167,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_raw,raw_fixed_toy,31,1200,1170,1,warmup,0,124.194,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_raw,raw_fixed_toy,31,1200,1170,1,measurement,1,147.349542,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_raw,raw_fixed_toy,31,1200,1170,1,measurement,2,117.65475,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_raw,raw_fixed_toy,31,1200,1170,1,measurement,3,124.712958,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_raw,raw_fixed_toy,31,1200,1170,1,measurement,4,131.946709,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_raw,raw_fixed_toy,31,1200,1170,1,measurement,5,148.459625,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,250,220,1,warmup,0,204.476084,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,250,220,1,measurement,1,171.934042,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,250,220,1,measurement,2,128.947042,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,250,220,1,measurement,3,129.772125,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,250,220,1,measurement,4,130.993375,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,250,220,1,measurement,5,120.938125,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,500,470,1,warmup,0,126.484584,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,500,470,1,measurement,1,128.339916,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,500,470,1,measurement,2,125.982625,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,500,470,1,measurement,3,130.181625,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,500,470,1,measurement,4,137.366667,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,500,470,1,measurement,5,129.847208,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,1200,1170,1,warmup,0,122.381666,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,1200,1170,1,measurement,1,134.322208,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,1200,1170,1,measurement,2,125.593167,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,1200,1170,1,measurement,3,126.592458,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,1200,1170,1,measurement,4,126.29375,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
fixed_toy_k31_cleaned,cleaned_fixed_toy,31,1200,1170,1,measurement,5,129.588458,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
