samplenames	location	geo	geo2	duration	date.month	date.start	date.end	season	particle	temperature	humid	weekend	aownership	latitude	longitude
chaoexpo47_I5	P2_work_home	uswest	Westcoast	5.522800926	9	2015-09-09	2015-09-15	fall	6.131211099	28.32795888	37.77183603	weekday	P2	37.4594516	-122.1636314
chaoexpo43_I15	Richland-WA	uswest	Westcoast	1.387037037	9	2015-09-13	2015-09-15	fall	20.60689252	28.22612936	26.67918057	weekday	P1	46.2182106	-119.2172538
chaoexpo31_I12	Monterey-CA	uswest	Westcoast	2.005902778	9	2015-09-16	2015-09-18	fall	16.68836189	29.19248453	40.30811263	weekday	P1	36.6111478	-121.8589246
chaoexpo40_I6	Reno-NV	uswest	Westcoast	6.585763889	9	2015-09-15	2015-09-22	fall	7.773747386	25.27340308	40.01471152	weekday	P2	39.4757191	-119.7786747
chaoexpo47_I6	Campus	uswest	Westcoast	5.718981481	9	2015-09-19	2015-09-25	fall	11.44003481	27.02793316	35.85252975	weekday	P1	37.40988969	-122.1593497
chaoexpo26_I15	Xin_office-background	uswest	Westcoast	5.993171296	9	2015-09-22	2015-09-28	fall	6.363820706	28.21394072	37.63807381	weekday	Others	37.4087126	-122.1498307
Expo0324B_I6	Xin_office-background	uswest	Westcoast	5.992013889	9	2015-09-22	2015-09-28	fall	4.667960827	29.11095186	37.46141662	weekday	Others	37.4087126	-122.1498307
chaoexpo34_I12	P2_work_home	uswest	Westcoast	6.884837963	9	2015-09-22	2015-09-29	fall	7.284458267	23.96847055	41.98411196	weekday	P2	37.4594516	-122.1636314
chaoexpo30_I12	Canada	uswest	Westcoast	3.237268519	9	2015-09-27	2015-10-01	fall	7.453307115	23.50606352	41.12293171	weekday	P1	49.28833882	-123.1124077
chaoexpo36_I15	Lexington-KY	useast	Northeast	2.009027778	10	2015-10-01	2015-10-03	fall	10.85626224	28.63973991	32.53515958	weekday	P1	38.0498426	-84.50129234
chaoexpo28_I6	P2_work_home	uswest	Westcoast	7.064583333	10	2015-09-29	2015-10-06	fall	8.099200498	25.32268784	45.75404174	weekday	P2	37.4594516	-122.1636314
expo623P1-2_I6	Mike_background	uswest	Westcoast	13.890625	10	2015-09-28	2015-10-12	fall	5.362254718	24.07608186	43.38583344	weekday	Others	37.4323403	-122.17595
chaoexpo40_I12	Baltimore-MD	useast	Northeast	4.179050926	10	2015-10-05	2015-10-09	fall	7.304622372	25.02752009	41.1276733	weekday	P1	39.28352897	-76.60172713
Expo0317B_I6	Boston-MA	useast	Northeast	1.869560185	10	2015-10-09	2015-10-11	fall	4.397016034	27.9827963	33.78858416	weekday	P1	42.37213961	-71.12296395
Expo0317B_I12	P2_work_home	uswest	Westcoast	12.95659722	10	2015-10-06	2015-10-19	fall	8.438777971	27.58839894	42.39929608	weekday	P2	37.4594516	-122.1636314
expo624P1-2_I15	Campus	uswest	Westcoast	3.88125	10	2015-10-12	2015-10-16	fall	100.027077	25.80704128	45.97801336	weekday	P1	37.40988969	-122.1593497
expo623P2-2_I15	Campus	uswest	Westcoast	2.681134259	10	2015-10-16	2015-10-19	fall	7.326699763	24.95235021	47.63276926	weekend	P1	37.40988969	-122.1593497
chaoexpo30_I15	Campus	uswest	Westcoast	3.901851852	10	2015-10-19	2015-10-23	fall	8.400777171	26.90754282	44.05453844	weekday	P1	37.40988969	-122.1593497
Expo0308B_I15	Campus	uswest	Westcoast	3.896527778	10	2015-10-23	2015-10-27	fall	7.958147686	24.47789923	45.61058635	weekend	P1	37.40988969	-122.1593497
Expo0323B_I6	P2_work_home	uswest	Westcoast	17.9287037	10	2015-10-19	2015-11-06	fall	6.233376801	24.79702775	48.61492473	weekday	P2	37.4594516	-122.1636314
chaoexpo47_I12	Mike_background	uswest	Westcoast	2.872453704	10	2015-10-27	2015-10-30	fall	4.378273834	24.43822324	39.19693368	weekday	Others	37.4323403	-122.17595
chaoexpo49_I15	France	europe	Europe	2.903125	10	2015-10-27	2015-10-30	fall	7.244587968	26.52707538	30.43568154	weekday	P1	45.89293586	6.167880127
chaoexpo50_I5	Campus	uswest	Westcoast	2.084953704	11	2015-10-31	2015-11-02	fall	57.82830021	25.25826968	46.31644277	weekday	P1	37.40988969	-122.1593497
chaoexpo40_I15	Campus	uswest	Westcoast	4.041666667	11	2015-11-02	2015-11-06	fall	4.762113402	26.22653492	36.26108534	weekday	P1	37.40988969	-122.1593497
chaoexpo31_I15	Campus	uswest	Westcoast	2.753935185	11	2015-11-06	2015-11-09	fall	12.13843826	23.39446819	40.251534	weekend	P1	37.40988969	-122.1593497
chaoexpo50_I6	Campus	uswest	Westcoast	5.523611111	11	2015-11-09	2015-11-15	fall	10.19880982	25.97731253	33.11065711	weekday	P1	37.40988969	-122.1593497
chaoexpo44_I5	P2_work_home	uswest	Westcoast	13.50659722	11	2015-11-06	2015-11-23	fall	6.533004276	19.75782107	46.16917487	weekday	P2	37.4594516	-122.1636314
chaoexpo47_I15	Germany	europe	Europe	4.578935185	11	2015-11-15	2015-11-20	fall	2.417142713	28.23928463	32.61832567	weekday	P1	49.3843105	8.709389192
chaoexpo24_I15	Campus	uswest	Westcoast	NA	11	2015-11-20	2015-11-23	fall	NA	NA	NA	weekend	P1	37.40988969	-122.1593497
Expo0317B_I15	Campus	uswest	Westcoast	2.277777778	11	2015-11-23	2015-11-25	fall	3.398069106	26.98256574	31.84884654	weekday	P1	37.40988969	-122.1593497
