"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX17380292","shotgun metagenomic sequencing of university campus sewer: BAS_8","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939470","","583.12","1","6243176","1885439152","BAS_8","WGS","METAGENOMIC","RANDOM"
"SRX17380291","shotgun metagenomic sequencing of university campus sewer: BAS_6","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939468","","385.85","1","4272534","1290305268","BAS_6","WGS","METAGENOMIC","RANDOM"
"SRX17380290","shotgun metagenomic sequencing of university campus sewer: BAS_5","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939469","","482.15","1","5165052","1559845704","BAS_5","WGS","METAGENOMIC","RANDOM"
"SRX17380289","shotgun metagenomic sequencing of university campus sewer: BAK_13","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939467","","578.73","1","6362062","1921342724","BAK_13","WGS","METAGENOMIC","RANDOM"
"SRX17380288","shotgun metagenomic sequencing of university campus sewer: BAS_3","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939465","","672.47","1","6930982","2093156564","BAS_3","WGS","METAGENOMIC","RANDOM"
"SRX17380287","shotgun metagenomic sequencing of university campus sewer: WEB_10","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939466","","419.98","1","4404836","1330260472","WEB_10","WGS","METAGENOMIC","RANDOM"
"SRX17380286","shotgun metagenomic sequencing of university campus sewer: STE_8","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939464","","466.72","1","5007438","1512246276","STE_8","WGS","METAGENOMIC","RANDOM"
"SRX17380285","shotgun metagenomic sequencing of university campus sewer: STE_6","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939463","","553.71","1","5946239","1795764178","STE_6","WGS","METAGENOMIC","RANDOM"
"SRX17380284","shotgun metagenomic sequencing of university campus sewer: STE_5","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939462","","549.83","1","5727229","1729623158","STE_5","WGS","METAGENOMIC","RANDOM"
"SRX17380283","shotgun metagenomic sequencing of university campus sewer: STE_3","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939461","","516.83","1","5591340","1688584680","STE_3","WGS","METAGENOMIC","RANDOM"
"SRX17380282","shotgun metagenomic sequencing of university campus sewer: STE_20","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939460","","264.46","1","2853113","861640126","STE_20","WGS","METAGENOMIC","RANDOM"
"SRX17380281","shotgun metagenomic sequencing of university campus sewer: BAS_19","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939459","","305.31","1","2966652","895928904","BAS_19","WGS","METAGENOMIC","RANDOM"
"SRX17380280","shotgun metagenomic sequencing of university campus sewer: STE_1","wastewater metagenome","Illumina NovaSeq 6000","University of Colorado, Boulder","SRP395024","A metagenomic investigation of spatial and temporal changes in sewage microbiomes across a university campus","SRS14939458","","301.59","1","3237022","977580644","STE_1","WGS","METAGENOMIC","RANDOM"
