+access,+submission_date,+accession,+publication_date,+last_update,Sample name,SRA identifier,Bioproject identifier,altitude,env_feature,collection_date,sample number,sample_type,env_biome,lat_lon,geo_loc_name,isolation source,host,env_material
public,2017-12-20T15:50:16.426,SAMN08216181,2018-09-20T00:00:00.000,2021-02-28T05:15:16.764,xinexpo76_I5,SRS2776399,PRJNA421162,3,air filter,2016-04-01,491,RNA,air filter,42.3625 N 71.087421 W,USA:massachusetts,Cambridge,missing,missing,air
public,2017-12-20T15:50:16.410,SAMN08216180,2018-09-20T00:00:00.000,2021-02-28T05:15:16.742,xinexpo32_I6,SRS2776781,PRJNA421162,28,air filter,2016-04-03,490,RNA,air filter,37.8136276 S 144.9630576 E,Australia:NA,Melbourne,missing,missing,air
public,2017-12-20T15:50:16.396,SAMN08216179,2018-09-20T00:00:00.000,2021-02-28T05:15:16.720,xinexpo71_I6,SRS2776782,PRJNA421162,16,air filter,2016-03-29,489,RNA,air filter,38.535476 N 121.74619 W,USA:california,San Francisco,missing,missing,air
public,2017-12-20T15:50:16.383,SAMN08216178,2018-09-20T00:00:00.000,2021-02-28T05:15:16.692,xinexpo71_I5,SRS2776778,PRJNA421162,51,air filter,2016-03-26,488,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:16.370,SAMN08216177,2018-09-20T00:00:00.000,2021-02-28T05:15:16.671,xinexpo52_I6,SRS2776776,PRJNA421162,14,air filter,2016-03-29,487,RNA,air filter,37.5629917 N 122.3255254 W,USA:california,San Mateo,missing,missing,air
public,2017-12-20T15:50:16.356,SAMN08216176,2018-09-20T00:00:00.000,2021-02-28T05:15:16.650,xinexpo62_I15,SRS2776780,PRJNA421162,271,air filter,2016-03-20,486,RNA,air filter,42.684997 N 84.430224 W,USA:michigan,Okemos,missing,missing,air
public,2017-12-20T15:50:16.340,SAMN08216175,2018-09-20T00:00:00.000,2021-02-28T05:15:16.629,xinexpo70_I15,SRS2776779,PRJNA421162,51,air filter,2016-03-18,485,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:16.326,SAMN08216174,2018-09-20T00:00:00.000,2021-02-28T05:15:16.608,xinexpo70_I12,SRS2776775,PRJNA421162,6,air filter,2016-03-16,484,RNA,air filter,42.345926 N 71.043346 W,USA:massachusetts,Boston,missing,missing,air
public,2017-12-20T15:50:16.313,SAMN08216173,2018-09-20T00:00:00.000,2021-02-28T05:15:16.587,xinexpo75_I5,SRS2776773,PRJNA421162,6,air filter,2016-03-17,483,RNA,air filter,37.4852152 N 122.2363548 W,USA:california,Redwood City,missing,missing,air
public,2017-12-20T15:50:16.300,SAMN08216172,2018-09-20T00:00:00.000,2021-02-28T05:15:16.567,xinexpo62_I12,SRS2776777,PRJNA421162,51,air filter,2016-03-12,482,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:16.283,SAMN08216171,2018-09-20T00:00:00.000,2021-02-28T05:15:16.546,xinexpo56_I15,SRS2776774,PRJNA421162,6,air filter,2016-03-10,481,RNA,air filter,37.4852152 N 122.2363548 W,USA:california,Redwood City,missing,missing,air
public,2017-12-20T15:50:16.270,SAMN08216170,2018-09-20T00:00:00.000,2021-02-28T05:15:16.524,xinexpo75_I15,SRS2776772,PRJNA421162,51,air filter,2016-03-09,480,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:16.253,SAMN08216169,2018-09-20T00:00:00.000,2021-02-28T05:15:16.497,xinexpo10_I15,SRS2776768,PRJNA421162,51,air filter,2016-03-08,479,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:16.240,SAMN08216168,2018-09-20T00:00:00.000,2021-02-28T05:15:16.476,xinexpo75_I12,SRS2776793,PRJNA421162,51,air filter,2016-03-07,478,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:16.223,SAMN08216167,2018-09-20T00:00:00.000,2021-02-28T05:15:16.456,xinexpo52_I5,SRS2776795,PRJNA421162,6,air filter,2016-03-07,477,RNA,air filter,37.4852152 N 122.2363548 W,USA:california,Redwood City,missing,missing,air
public,2017-12-20T15:50:16.210,SAMN08216166,2018-09-20T00:00:00.000,2021-02-28T05:15:16.436,xinexpo62_I6,SRS2776797,PRJNA421162,13,air filter,2016-03-02,476,RNA,air filter,29.751062 N 95.360168 W,USA:texas,Houston,missing,missing,air
public,2017-12-20T15:50:16.193,SAMN08216165,2018-09-20T00:00:00.000,2021-02-28T05:15:16.416,xinexpo74_I15,SRS2776794,PRJNA421162,51,air filter,2016-02-29,475,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:16.176,SAMN08216164,2018-09-20T00:00:00.000,2021-02-28T05:15:16.395,xinexpo70_I6,SRS2776785,PRJNA421162,1466,air filter,2016-02-27,474,RNA,air filter,45.680806 N 111.03612 W,USA:montana,Bozeman,missing,missing,air
public,2017-12-20T15:50:16.163,SAMN08216163,2018-09-20T00:00:00.000,2021-02-28T05:15:16.374,xinexpo22_I15,SRS2776784,PRJNA421162,14,air filter,2016-02-26,473,RNA,air filter,29.7604267 N 95.3698028 W,USA:texas,Houston,missing,missing,air
public,2017-12-20T15:50:16.146,SAMN08216162,2018-09-20T00:00:00.000,2021-02-28T05:15:16.354,xinexpo56_I12,SRS2776798,PRJNA421162,51,air filter,2016-02-25,472,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:16.126,SAMN08216161,2018-09-20T00:00:00.000,2021-02-28T05:15:16.333,xinexpo74_I12,SRS2776805,PRJNA421162,51,air filter,2016-02-23,471,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:16.090,SAMN08216160,2018-09-20T00:00:00.000,2021-02-28T05:15:16.311,xinexpo74_I6,SRS2776617,PRJNA421162,51,air filter,2016-02-21,470,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:16.076,SAMN08216159,2018-09-20T00:00:00.000,2021-02-28T05:15:16.286,xinexpo51_I15,SRS2776616,PRJNA421162,51,air filter,2016-02-18,469,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:16.060,SAMN08216158,2018-09-20T00:00:00.000,2021-02-28T05:15:16.265,xinexpo56_I6,SRS2776614,PRJNA421162,51,air filter,2016-02-16,468,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:16.046,SAMN08216157,2018-09-20T00:00:00.000,2021-02-28T05:15:16.245,xinexpo51_I12,SRS2776615,PRJNA421162,1424,air filter,2016-02-12,467,RNA,air filter,51.17311515 N 115.5629289 W,Canada:NA,Banff,missing,missing,air
public,2017-12-20T15:50:16.033,SAMN08216156,2018-09-20T00:00:00.000,2021-02-28T05:15:16.225,xinexpo32_I5,SRS2776619,PRJNA421162,1614,air filter,2016-02-05,466,RNA,air filter,39.738968 N 104.94227 W,USA:colorado,Denver,missing,missing,air
public,2017-12-20T15:50:16.020,SAMN08216155,2018-09-20T00:00:00.000,2021-02-28T05:15:16.204,xinexpo12_I15,SRS2776612,PRJNA421162,51,air filter,2016-02-05,465,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:16.003,SAMN08216154,2018-09-20T00:00:00.000,2021-02-28T05:15:16.184,xinexpo14_I12,SRS2776610,PRJNA421162,22,air filter,2016-01-31,464,RNA,air filter,37.788407 N 122.4068 W,USA:california,San Francisco,missing,missing,air
public,2017-12-20T15:50:15.990,SAMN08216153,2018-09-20T00:00:00.000,2021-02-28T05:15:16.163,xinexpo28_I15,SRS2776609,PRJNA421162,51,air filter,2016-01-28,463,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:15.973,SAMN08216152,2018-09-20T00:00:00.000,2021-02-28T05:15:16.142,xinexpo44_I15,SRS2776611,PRJNA421162,51,air filter,2016-01-25,462,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:15.946,SAMN08216151,2018-09-20T00:00:00.000,2021-02-28T05:15:16.120,xinexpo56_I5,SRS2776607,PRJNA421162,34,air filter,2016-01-22,461,RNA,air filter,37.4087126 N 122.1498307 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:15.930,SAMN08216150,2018-09-20T00:00:00.000,2021-02-28T05:15:16.098,xinexpo51_I6,SRS2776473,PRJNA421162,51,air filter,2016-01-22,460,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:15.916,SAMN08216149,2018-09-20T00:00:00.000,2021-02-28T05:15:16.076,xinexpo55_I15,SRS2776477,PRJNA421162,189,air filter,2016-01-20,459,RNA,air filter,32.7556215 N 97.3324061 W,USA:texas,Fort Worth,missing,missing,air
public,2017-12-20T15:50:15.903,SAMN08216148,2018-09-20T00:00:00.000,2021-02-28T05:15:16.051,xinexpo22_I12,SRS2776471,PRJNA421162,51,air filter,2016-01-18,458,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:15.890,SAMN08216147,2018-09-20T00:00:00.000,2021-02-28T05:15:16.026,xinexpo44_I12,SRS2776472,PRJNA421162,51,air filter,2016-01-15,457,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:15.873,SAMN08216146,2018-09-20T00:00:00.000,2021-02-28T05:15:16.005,xinexpo55_I12,SRS2776468,PRJNA421162,1353,air filter,2016-01-15,456,RNA,air filter,39.4757191 N 119.7786747 W,USA:nevada,Reno,missing,missing,air
public,2017-12-20T15:50:15.860,SAMN08216145,2018-09-20T00:00:00.000,2021-02-28T05:15:15.985,xinexpo48_I6,SRS2776469,PRJNA421162,425,air filter,2016-01-10,455,RNA,air filter,34.3637 N 118.55116 W,USA:california,Los Angeles,missing,missing,air
public,2017-12-20T15:50:15.843,SAMN08216144,2018-09-20T00:00:00.000,2021-02-28T05:15:15.965,xinexpo55_I6,SRS2776475,PRJNA421162,3,air filter,2016-01-07,454,RNA,air filter,32.711126 N 117.168068 W,USA:california,San Diego,missing,missing,air
public,2017-12-20T15:50:15.826,SAMN08216143,2018-09-20T00:00:00.000,2021-02-28T05:15:15.944,xinexpo51_I5,SRS2776476,PRJNA421162,125,air filter,2016-01-07,453,RNA,air filter,32.89389037 N 117.2426647 W,USA:california,San Diego,missing,missing,air
public,2017-12-20T15:50:15.813,SAMN08216142,2018-09-20T00:00:00.000,2021-02-28T05:15:15.923,xinexpo10_I12,SRS2776470,PRJNA421162,51,air filter,2016-01-05,452,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:15.800,SAMN08216141,2018-09-20T00:00:00.000,2021-02-28T05:15:15.902,xinexpo50_I15,SRS2776474,PRJNA421162,49,air filter,2016-01-02,451,RNA,air filter,41.75736384 N 72.75577191 W,USA:connecticut,West Hartford,missing,missing,air
public,2017-12-20T15:50:15.783,SAMN08216140,2018-09-20T00:00:00.000,2021-02-28T05:15:15.882,xinexpo48_I5,SRS2776294,PRJNA421162,76,air filter,2015-12-28,450,RNA,air filter,40.24783815 N 75.58747128 W,USA:pennsylvania,Pottstown,missing,missing,air
public,2017-12-20T15:50:15.770,SAMN08216139,2018-09-20T00:00:00.000,2021-02-28T05:15:15.861,xinexpo50_I12,SRS2776293,PRJNA421162,6,air filter,2016-01-03,449,RNA,air filter,36.6002378 N 121.8946761 W,USA:california,Monterey,missing,missing,air
public,2017-12-20T15:50:15.756,SAMN08216138,2018-09-20T00:00:00.000,2021-02-28T05:15:15.841,xinexpo55_I5,SRS2776288,PRJNA421162,49,air filter,2015-12-25,448,RNA,air filter,41.75736384 N 72.75577191 W,USA:connecticut,West Hartford,missing,missing,air
public,2017-12-20T15:50:15.740,SAMN08216137,2018-09-20T00:00:00.000,2021-02-28T05:15:15.821,xinexpo54_I15,SRS2776285,PRJNA421162,51,air filter,2015-12-22,447,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:15.723,SAMN08216136,2018-09-20T00:00:00.000,2021-02-28T05:15:15.800,xinexpo54_I12,SRS2776287,PRJNA421162,51,air filter,2015-12-18,446,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:15.710,SAMN08216135,2018-09-20T00:00:00.000,2021-02-28T05:15:15.779,xinexpo20_I12,SRS2776286,PRJNA421162,51,air filter,2015-12-14,445,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:15.693,SAMN08216134,2018-09-20T00:00:00.000,2021-02-28T05:15:15.758,xinexpo34_I15,SRS2776290,PRJNA421162,8,air filter,2015-12-10,444,RNA,air filter,41.30554102 N 72.92788858 W,USA:connecticut,West Hartford,missing,missing,air
public,2017-12-20T15:50:15.680,SAMN08216133,2018-09-20T00:00:00.000,2021-02-28T05:15:15.737,xinexpo12_I12,SRS2776289,PRJNA421162,76,air filter,2015-12-06,443,RNA,air filter,40.24783815 N 75.58747128 W,USA:pennsylvania,Pottstown,missing,missing,air
public,2017-12-20T15:50:15.666,SAMN08216132,2018-09-20T00:00:00.000,2021-02-28T05:15:15.715,xinexpo22_I6,SRS2776292,PRJNA421162,51,air filter,2015-12-10,442,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:15.650,SAMN08216131,2018-09-20T00:00:00.000,2021-02-28T05:15:15.683,xinexpo28_I12,SRS2776291,PRJNA421162,102,air filter,2015-12-03,441,RNA,air filter,38.99791635 N 77.09885595 W,USA:maryland,Bethesda,missing,missing,air
public,2017-12-20T15:50:15.636,SAMN08216130,2018-09-20T00:00:00.000,2021-02-28T05:15:15.661,xinexpo44_I6,SRS2776313,PRJNA421162,51,air filter,2015-11-30,440,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:15.620,SAMN08216129,2018-09-20T00:00:00.000,2021-02-28T05:15:15.641,xinexpo08_I15,SRS2776315,PRJNA421162,51,air filter,2015-11-25,439,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:15.606,SAMN08216128,2018-09-20T00:00:00.000,2021-02-28T05:15:15.620,xinexpo24_I15,SRS2776308,PRJNA421162,51,air filter,2015-11-23,438,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:15.593,SAMN08216127,2018-09-20T00:00:00.000,2021-09-26T03:16:13.053,xinexpo47_I15,SRS2776309,PRJNA421162,297,air filter,2015-11-20,437,RNA,air filter,49.3843105 N 8.70938919 E,Germany:NA,Heidelberg,missing,missing,air
public,2017-12-20T15:50:15.580,SAMN08216126,2018-09-20T00:00:00.000,2021-02-28T05:15:15.578,xinexpo44_I5,SRS2776312,PRJNA421162,14,air filter,2015-11-23,436,RNA,air filter,37.4594516 N 122.1636314 W,USA:california,Menlo Park,missing,missing,air
public,2017-12-20T15:50:15.563,SAMN08216125,2018-09-20T00:00:00.000,2021-02-28T05:15:15.558,xinexpo50_I6,SRS2776310,PRJNA421162,51,air filter,2015-11-15,435,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:15.550,SAMN08216124,2018-09-20T00:00:00.000,2021-02-28T05:15:15.537,xinexpo31_I15,SRS2776303,PRJNA421162,51,air filter,2015-11-09,434,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:15.533,SAMN08216123,2018-09-20T00:00:00.000,2021-02-28T05:15:15.516,xinexpo40_I15,SRS2776305,PRJNA421162,51,air filter,2015-11-06,433,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:15.516,SAMN08216122,2018-09-20T00:00:00.000,2021-02-28T05:15:15.494,xinexpo50_I5,SRS2776307,PRJNA421162,51,air filter,2015-11-02,432,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:15.500,SAMN08216121,2018-09-20T00:00:00.000,2021-09-26T03:16:13.029,xinexpo49_I15,SRS2776306,PRJNA421162,466,air filter,2015-10-30,431,RNA,air filter,45.89293586 N 6.16788012 E,France:NA,Veyrier-du-Lac,missing,missing,air
public,2017-12-20T15:50:15.486,SAMN08216120,2018-09-20T00:00:00.000,2021-02-28T05:15:15.449,xinexpo47_I12,SRS2776726,PRJNA421162,29,air filter,2015-10-30,430,RNA,air filter,37.4323403 N 122.17595 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:15.473,SAMN08216119,2018-09-20T00:00:00.000,2021-02-28T05:15:15.428,xinexpo10_I6,SRS2776723,PRJNA421162,14,air filter,2015-11-06,429,RNA,air filter,37.4594516 N 122.1636314 W,USA:california,Menlo Park,missing,missing,air
public,2017-12-20T15:50:15.460,SAMN08216118,2018-09-20T00:00:00.000,2021-02-28T05:15:15.407,xinexpo06_I15,SRS2776715,PRJNA421162,51,air filter,2015-10-27,428,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:15.443,SAMN08216117,2018-09-20T00:00:00.000,2021-02-28T05:15:15.385,xinexpo30_I15,SRS2776710,PRJNA421162,51,air filter,2015-10-23,427,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:15.430,SAMN08216116,2018-09-20T00:00:00.000,2021-02-28T05:15:15.363,xinexpo16_I15,SRS2776713,PRJNA421162,51,air filter,2015-10-19,426,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:15.413,SAMN08216115,2018-09-20T00:00:00.000,2021-02-28T05:15:15.340,xinexpo18_I15,SRS2776712,PRJNA421162,51,air filter,2015-10-16,425,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:15.396,SAMN08216114,2018-09-20T00:00:00.000,2021-02-28T05:15:15.316,xinexpo08_I12,SRS2776717,PRJNA421162,14,air filter,2015-10-19,424,RNA,air filter,37.4594516 N 122.1636314 W,USA:california,Menlo Park,missing,missing,air
public,2017-12-20T15:50:15.383,SAMN08216113,2018-09-20T00:00:00.000,2021-02-28T05:15:15.293,xinexpo08_I6,SRS2776716,PRJNA421162,4,air filter,2015-10-11,423,RNA,air filter,42.37213961 N 71.12296395 W,USA:massachusetts,Cambridge,missing,missing,air
public,2017-12-20T15:50:15.370,SAMN08216112,2018-09-20T00:00:00.000,2021-02-28T05:15:15.269,xinexpo40_I12,SRS2776719,PRJNA421162,2,air filter,2015-10-09,422,RNA,air filter,39.28352897 N 76.60172713 W,USA:maryland,Baltimore,missing,missing,air
public,2017-12-20T15:50:15.353,SAMN08216111,2018-09-20T00:00:00.000,2021-02-28T05:15:15.247,xinexpo14_I6,SRS2776714,PRJNA421162,29,air filter,2015-10-12,421,RNA,air filter,37.4323403 N 122.17595 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:15.340,SAMN08216110,2018-09-20T00:00:00.000,2021-02-28T05:15:15.226,xinexpo28_I6,SRS2776572,PRJNA421162,14,air filter,2015-10-06,420,RNA,air filter,37.4594516 N 122.1636314 W,USA:california,Menlo Park,missing,missing,air
public,2017-12-20T15:50:15.326,SAMN08216109,2018-09-20T00:00:00.000,2021-02-28T05:15:15.205,xinexpo36_I15,SRS2776573,PRJNA421162,288,air filter,2015-10-03,419,RNA,air filter,38.0498426 N 84.50129234 W,USA:kentucky,Lexington,missing,missing,air
public,2017-12-20T15:50:15.310,SAMN08216108,2018-09-20T00:00:00.000,2021-02-28T05:15:15.184,xinexpo30_I12,SRS2776581,PRJNA421162,1,air filter,2015-10-01,418,RNA,air filter,49.28833882 N 123.1124077 W,Canada:NA,Vancouver,missing,missing,air
public,2017-12-20T15:50:15.290,SAMN08216107,2018-09-20T00:00:00.000,2021-02-28T05:15:15.163,xinexpo34_I12,SRS2776582,PRJNA421162,14,air filter,2015-09-29,417,RNA,air filter,37.4594516 N 122.1636314 W,USA:california,Menlo Park,missing,missing,air
public,2017-12-20T15:50:15.276,SAMN08216106,2018-09-20T00:00:00.000,2021-02-28T05:15:15.142,xinexpo12_I6,SRS2776579,PRJNA421162,34,air filter,2015-09-28,416,RNA,air filter,37.4087126 N 122.1498307 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:15.260,SAMN08216105,2018-09-20T00:00:00.000,2021-02-28T05:15:15.121,xinexpo26_I15,SRS2776580,PRJNA421162,34,air filter,2015-09-28,415,RNA,air filter,37.4087126 N 122.1498307 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:15.246,SAMN08216104,2018-09-20T00:00:00.000,2021-02-28T05:15:15.100,xinexpo47_I6,SRS2776576,PRJNA421162,51,air filter,2015-09-25,414,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:15.230,SAMN08216103,2018-09-20T00:00:00.000,2021-02-28T05:15:15.079,xinexpo40_I6,SRS2776577,PRJNA421162,1353,air filter,2015-09-22,413,RNA,air filter,39.4757191 N 119.7786747 W,USA:nevada,Reno,missing,missing,air
public,2017-12-20T15:50:15.216,SAMN08216102,2018-09-20T00:00:00.000,2021-02-28T05:15:15.047,xinexpo31_I12,SRS2776574,PRJNA421162,7,air filter,2015-09-18,412,RNA,air filter,36.6111478 N 121.8589246 W,USA:california,Monterey,missing,missing,air
public,2017-12-20T15:50:15.200,SAMN08216101,2018-09-20T00:00:00.000,2021-02-28T05:15:14.997,xinexpo43_I15,SRS2776575,PRJNA421162,155,air filter,2015-09-15,411,RNA,air filter,46.2182106 N 119.2172538 W,USA:washington,Kennewick,missing,missing,air
public,2017-12-20T15:50:15.186,SAMN08216100,2018-09-20T00:00:00.000,2021-02-28T05:15:14.950,xinexpo47_I5,SRS2776606,PRJNA421162,14,air filter,2015-09-15,410,RNA,air filter,37.4594516 N 122.1636314 W,USA:california,Menlo Park,missing,missing,air
public,2017-12-20T15:50:15.166,SAMN08216099,2018-09-20T00:00:00.000,2021-02-28T05:15:14.928,xinexpo36_I12,SRS2776608,PRJNA421162,51,air filter,2015-09-01,409,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:15.150,SAMN08216098,2018-09-20T00:00:00.000,2021-02-28T05:15:14.905,xinexpo02_I15,SRS2776417,PRJNA421162,237,air filter,2015-08-29,408,RNA,air filter,40.00308734 N 83.03707693 W,USA:ohio,Columbus,missing,missing,air
public,2017-12-20T15:50:15.136,SAMN08216097,2018-09-20T00:00:00.000,2021-02-28T05:15:14.883,xinexpo06_I12,SRS2776419,PRJNA421162,51,air filter,2015-08-26,407,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:15.123,SAMN08216096,2018-09-20T00:00:00.000,2021-02-28T05:15:14.863,xinexpo04_I15,SRS2776420,PRJNA421162,29,air filter,2015-08-23,406,RNA,air filter,37.4323403 N 122.17595 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:15.106,SAMN08216095,2018-09-20T00:00:00.000,2021-02-28T05:15:14.841,xinexpo20_I15,SRS2776418,PRJNA421162,492,air filter,2015-08-20,405,RNA,air filter,30.63191974 N 104.0747304 E,China:NA,Chengdu,missing,missing,air
public,2017-12-20T15:50:15.073,SAMN08216094,2018-09-20T00:00:00.000,2021-02-28T05:15:14.821,xinexpo08_I5,SRS2776412,PRJNA421162,51,air filter,2015-08-16,404,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:15.060,SAMN08216093,2018-09-20T00:00:00.000,2021-02-28T05:15:14.800,xinexpo12_I5,SRS2776414,PRJNA421162,51,air filter,2015-08-11,403,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:15.043,SAMN08216092,2018-09-20T00:00:00.000,2021-02-28T05:15:14.779,xinexpo14_I5,SRS2776416,PRJNA421162,1424,air filter,2015-08-05,402,RNA,air filter,51.17311515 N 115.5629289 W,Canada:NA,Banff,missing,missing,air
public,2017-12-20T15:50:15.026,SAMN08216091,2018-09-20T00:00:00.000,2021-02-28T05:15:14.758,xinexpo24_I12,SRS2776621,PRJNA421162,217,air filter,2015-08-01,401,RNA,air filter,41.66315887 N 91.54413738 W,USA:iowa,Iowa City,missing,missing,air
public,2017-12-20T15:50:15.010,SAMN08216090,2018-09-20T00:00:00.000,2021-02-28T05:15:14.737,xinexpo26_I12,SRS2776271,PRJNA421162,51,air filter,2015-08-02,400,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:14.996,SAMN08216089,2018-09-20T00:00:00.000,2021-02-28T05:15:14.676,xinexpo54_I6,SRS2776269,PRJNA421162,51,air filter,2015-07-24,399,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:14.973,SAMN08216088,2018-09-20T00:00:00.000,2021-02-28T05:15:14.622,xinexpo16_I12,SRS2776254,PRJNA421162,6,air filter,2015-07-18,398,RNA,air filter,63.43591177 N 10.40676598 E,Norway:NA,Trondheim,missing,missing,air
public,2017-12-20T15:50:14.960,SAMN08216087,2018-09-20T00:00:00.000,2021-02-28T05:15:14.601,xinexpo43_I12,SRS2776255,PRJNA421162,492,air filter,2015-07-13,397,RNA,air filter,39.3433574 N 117.3616476 E,China:NA,Chengdu,missing,missing,air
public,2017-12-20T15:50:14.946,SAMN08216086,2018-09-20T00:00:00.000,2021-02-28T05:15:14.579,xinexpo04_I12,SRS2776257,PRJNA421162,5,air filter,2015-07-11,396,RNA,air filter,39.3433574 N 117.3616476 E,China:NA,Tianjin,missing,missing,air
public,2017-12-20T15:50:14.930,SAMN08216085,2018-09-20T00:00:00.000,2021-02-28T05:15:14.558,xinexpo22_I5,SRS2776256,PRJNA421162,1930,air filter,2015-07-08,395,RNA,air filter,24.880095 N 102.832891 E,China:NA,Kunming,missing,missing,air
public,2017-12-20T15:50:14.920,SAMN08216084,2018-09-20T00:00:00.000,2021-02-28T05:15:14.538,xinexpo18_I12,SRS2776263,PRJNA421162,71,air filter,2015-07-12,394,RNA,air filter,59.92982294 N 10.72748498 E,Norway:NA,Oslo,missing,missing,air
public,2017-12-20T15:50:14.903,SAMN08216083,2018-09-20T00:00:00.000,2021-02-28T05:15:14.517,xinexpo02_I12,SRS2776258,PRJNA421162,5,air filter,2015-07-05,393,RNA,air filter,39.3433574 N 117.3616476 E,China:NA,Tianjin,missing,missing,air
public,2017-12-20T15:50:14.890,SAMN08216082,2018-09-20T00:00:00.000,2021-02-28T05:15:14.497,xinexpo46_I15,SRS2776283,PRJNA421162,51,air filter,2015-07-02,392,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
