+access,+submission_date,+accession,+publication_date,+last_update,Sample name,SRA identifier,Bioproject identifier,altitude,env_feature,collection_date,sample number,sample_type,env_biome,lat_lon,geo_loc_name,isolation source,host,env_material
public,2017-12-20T15:50:17.200,SAMN08216233,2018-09-20T00:00:00.000,2021-02-28T05:15:17.918,xinexpo58_I5,SRS2776268,PRJNA421162,51,air filter,2016-11-28,543,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:17.186,SAMN08216232,2018-09-20T00:00:00.000,2021-02-28T05:15:17.896,xinexpo57_I15,SRS2776724,PRJNA421162,17,air filter,2016-11-28,542,RNA,air filter,37.5482697 N 121.988572 W,USA:california,Fremont,missing,missing,air
public,2017-12-20T15:50:17.173,SAMN08216231,2018-09-20T00:00:00.000,2021-02-28T05:15:17.873,xinexpo57_I12,SRS2776725,PRJNA421162,14,air filter,2016-11-28,541,RNA,air filter,37.5629917 N 122.3255254 W,USA:california,San Mateo,missing,missing,air
public,2017-12-20T15:50:17.156,SAMN08216230,2018-09-20T00:00:00.000,2021-02-28T05:15:17.833,xinexpo57_I6,SRS2776646,PRJNA421162,72,air filter,2016-11-27,540,RNA,air filter,37.3229978 N 122.032183 W,USA:california,Cupertino,missing,missing,air
public,2017-12-20T15:50:17.143,SAMN08216229,2018-09-20T00:00:00.000,2021-02-28T05:15:17.813,xinexpo52_I15,SRS2776641,PRJNA421162,51,air filter,2016-09-30,539,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:17.126,SAMN08216228,2018-09-20T00:00:00.000,2021-02-28T05:15:17.792,xinexpo78_I12,SRS2776317,PRJNA421162,51,air filter,2016-09-09,538,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:17.113,SAMN08216227,2018-09-20T00:00:00.000,2021-02-28T05:15:17.771,xinexpo75_I6,SRS2776316,PRJNA421162,14,air filter,2016-09-02,537,RNA,air filter,31.2303904 N 121.4737021 E,China:NA,Shanghai,missing,missing,air
public,2017-12-20T15:50:17.100,SAMN08216226,2018-09-20T00:00:00.000,2021-02-28T05:15:17.750,xinexpo73_I15,SRS2776320,PRJNA421162,51,air filter,2016-08-29,536,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
public,2017-12-20T15:50:17.083,SAMN08216225,2018-09-20T00:00:00.000,2021-02-28T05:15:17.730,xinexpo77_I15,SRS2776318,PRJNA421162,117,air filter,2016-08-26,535,RNA,air filter,34.069287 N 118.4457 W,USA:california,Los Angeles,missing,missing,air
public,2017-12-20T15:50:17.070,SAMN08216224,2018-09-20T00:00:00.000,2021-02-28T05:15:17.708,xinexpo77_I12,SRS2776314,PRJNA421162,51,air filter,2016-08-25,534,RNA,air filter,37.40988969 N 122.1593497 W,USA:california,Palo Alto,missing,missing,air
