chemistry	coverage	seed	arm	condition	n_reads	corrupted_base_fraction	digest	n_contigs	total_length	largest_contig	n50	wall_seconds
pacbio	5	42	qualmer	constant40	14	0.02322	17ac01d167f07c0cebd3581c42e0ab9b68092ba7282296c3a257b982bf424e96	864	67822	591	86	0.626
pacbio	5	42	qualmer	constant02	14	0.02322	17ac01d167f07c0cebd3581c42e0ab9b68092ba7282296c3a257b982bf424e96	864	67822	591	86	1.144
pacbio	5	42	qualmer	antioracle	14	0.02322	17ac01d167f07c0cebd3581c42e0ab9b68092ba7282296c3a257b982bf424e96	864	67822	591	86	1.044
pacbio	5	42	kmer	fasta_no_quality	14	0.02322	17ac01d167f07c0cebd3581c42e0ab9b68092ba7282296c3a257b982bf424e96	864	67822	591	86	0.311
pacbio	5	42	qualmer	sensitivity_control_1base	14	0.02322	3b06644a3fa3325341780f328d4ccfbd6041a318ee157d64a1141a8dc9ec62ee	-1	-1	-1	-1	-1.0
pacbio	5	123	qualmer	oracle	14	0.02252	9204030fa34767e1fffa786bb2ab209b2877ac785d766d0bb2fec27b1ef60511	912	69715	270	81	0.757
pacbio	5	123	qualmer	constant40	14	0.02252	9204030fa34767e1fffa786bb2ab209b2877ac785d766d0bb2fec27b1ef60511	912	69715	270	81	1.651
pacbio	5	123	qualmer	constant02	14	0.02252	9204030fa34767e1fffa786bb2ab209b2877ac785d766d0bb2fec27b1ef60511	912	69715	270	81	0.601
pacbio	5	123	qualmer	antioracle	14	0.02252	9204030fa34767e1fffa786bb2ab209b2877ac785d766d0bb2fec27b1ef60511	912	69715	270	81	0.995
pacbio	5	123	kmer	fasta_no_quality	14	0.02252	9204030fa34767e1fffa786bb2ab209b2877ac785d766d0bb2fec27b1ef60511	912	69715	270	81	0.235
pacbio	5	123	qualmer	sensitivity_control_1base	14	0.02252	3aa95be7aab6683ca13ef57bc06bb23c11d3dbc072f77b2a391c5c8eeb3137d7	-1	-1	-1	-1	-1.0
pacbio	10	42	qualmer	oracle	27	0.02369	544be5aa73d656bef9df6e68fc0ce0b2bda4bee720118be5cceb5a05e5ad74d5	1518	118783	626	80	2.135
pacbio	10	42	qualmer	constant40	27	0.02369	544be5aa73d656bef9df6e68fc0ce0b2bda4bee720118be5cceb5a05e5ad74d5	1518	118783	626	80	1.654
pacbio	10	42	qualmer	constant02	27	0.02369	544be5aa73d656bef9df6e68fc0ce0b2bda4bee720118be5cceb5a05e5ad74d5	1518	118783	626	80	1.829
pacbio	10	42	qualmer	antioracle	27	0.02369	544be5aa73d656bef9df6e68fc0ce0b2bda4bee720118be5cceb5a05e5ad74d5	1518	118783	626	80	1.996
pacbio	10	42	kmer	fasta_no_quality	27	0.02369	544be5aa73d656bef9df6e68fc0ce0b2bda4bee720118be5cceb5a05e5ad74d5	1518	118783	626	80	0.63
pacbio	10	42	qualmer	sensitivity_control_1base	27	0.02369	83870a28bdc4a147d018d53c13012e9beca7bfb1bd956fab159182c3523000d8	-1	-1	-1	-1	-1.0
pacbio	10	123	qualmer	oracle	27	0.02326	23c810c70252e8ea76ff47b1c53f4e26aab4c92bd414fbe91e50d7c5f4a5be16	1613	124090	335	80	1.99
pacbio	10	123	qualmer	constant40	27	0.02326	23c810c70252e8ea76ff47b1c53f4e26aab4c92bd414fbe91e50d7c5f4a5be16	1613	124090	335	80	1.15
pacbio	10	123	qualmer	constant02	27	0.02326	23c810c70252e8ea76ff47b1c53f4e26aab4c92bd414fbe91e50d7c5f4a5be16	1613	124090	335	80	1.787
pacbio	10	123	qualmer	antioracle	27	0.02326	23c810c70252e8ea76ff47b1c53f4e26aab4c92bd414fbe91e50d7c5f4a5be16	1613	124090	335	80	1.732
pacbio	10	123	kmer	fasta_no_quality	27	0.02326	23c810c70252e8ea76ff47b1c53f4e26aab4c92bd414fbe91e50d7c5f4a5be16	1613	124090	335	80	1.512
pacbio	10	123	qualmer	sensitivity_control_1base	27	0.02326	fc191272793d5a20eebd6a23bb6a6838d53938b7488c034ccce3ff6594e0df44	-1	-1	-1	-1	-1.0
pacbio	30	42	qualmer	oracle	81	0.02368	d8a730d3ff73ac1cb2fe4a31c09e28e05a4da245ea1e92603850fa11c1e57dd6	4484	336305	2511	75	7.115
pacbio	30	42	qualmer	constant40	81	0.02368	d8a730d3ff73ac1cb2fe4a31c09e28e05a4da245ea1e92603850fa11c1e57dd6	4484	336305	2511	75	4.6
pacbio	30	42	qualmer	constant02	81	0.02368	d8a730d3ff73ac1cb2fe4a31c09e28e05a4da245ea1e92603850fa11c1e57dd6	4484	336305	2511	75	4.909
pacbio	30	42	qualmer	antioracle	81	0.02368	d8a730d3ff73ac1cb2fe4a31c09e28e05a4da245ea1e92603850fa11c1e57dd6	4484	336305	2511	75	6.478
pacbio	30	42	kmer	fasta_no_quality	81	0.02368	d8a730d3ff73ac1cb2fe4a31c09e28e05a4da245ea1e92603850fa11c1e57dd6	4484	336305	2511	75	2.535
pacbio	30	42	qualmer	sensitivity_control_1base	81	0.02368	7b6b60f72463fa9f0b06fa9a562135ec3dc232e81d958ab4452d7edfcbf23f34	-1	-1	-1	-1	-1.0
pacbio	30	123	qualmer	oracle	81	0.02316	862f19a81011faf2ad9d42d824d10501e1d28eb03f289cea99c9b3b97378002e	4455	337080	1868	76	5.141
pacbio	30	123	qualmer	constant40	81	0.02316	862f19a81011faf2ad9d42d824d10501e1d28eb03f289cea99c9b3b97378002e	4455	337080	1868	76	5.65
pacbio	30	123	qualmer	constant02	81	0.02316	862f19a81011faf2ad9d42d824d10501e1d28eb03f289cea99c9b3b97378002e	4455	337080	1868	76	5.234
pacbio	30	123	qualmer	antioracle	81	0.02316	862f19a81011faf2ad9d42d824d10501e1d28eb03f289cea99c9b3b97378002e	4455	337080	1868	76	5.669
pacbio	30	123	kmer	fasta_no_quality	81	0.02316	862f19a81011faf2ad9d42d824d10501e1d28eb03f289cea99c9b3b97378002e	4455	337080	1868	76	2.417
pacbio	30	123	qualmer	sensitivity_control_1base	81	0.02316	9cb0d111fa80da67d675656e215b8c133a118bba7dc6c0309d29aae613b87cf6	-1	-1	-1	-1	-1.0
