chemistry	coverage	regime	obs_bin	n_kmers	observed_error_rate	predicted_independence	predicted_conservative	log10_overconfidence_independence
pacbio	20	artifact	5-8	2854	0.001402	2.221e-8	0.0312	4.8
pacbio	20	artifact	9-16	4460	0.013	2.551e-8	0.06546	5.71
pacbio	20	artifact	17-inf	236	0.0	3.712e-43	0.05881	-Inf
pacbio	40	random	1-1	242790	0.9981	0.2171	0.2171	0.66
pacbio	40	random	2-2	9634	0.956	0.03412	0.2638	1.45
pacbio	40	random	3-4	1492	0.4651	0.001352	0.09576	2.54
pacbio	40	random	5-8	1334	0.0	2.875e-13	0.02692	-Inf
pacbio	40	random	9-16	2234	0.0	2.3549999999999998e-23	0.06208	-Inf
pacbio	40	random	17-inf	5136	0.0	8.492e-44	0.1035	-Inf
pacbio	40	artifact	1-1	242522	0.9984	0.2174	0.2174	0.66
pacbio	40	artifact	2-2	9530	0.9656	0.0347	0.2653	1.44
pacbio	40	artifact	3-4	1332	0.5	0.0008149	0.06791	2.79
pacbio	40	artifact	5-8	1382	0.002894	2.903e-13	0.02819	10.0
pacbio	40	artifact	9-16	2818	0.0	2.669e-23	0.05767	-Inf
pacbio	40	artifact	17-inf	4890	0.01268	7.817e-15	0.1135	12.21
ont	5	random	1-1	47974	0.9349	0.3346	0.3346	0.45
ont	5	random	2-2	1684	0.03325	0.005433	0.05763	0.79
ont	5	random	3-4	644	0.0	6.705e-6	0.06618	-Inf
ont	5	random	5-8	2	0.0	1.0e-9	0.07674	-Inf
ont	5	artifact	1-1	48232	0.9277	0.3345	0.3345	0.44
ont	5	artifact	2-2	1788	0.07159	0.005118	0.05527	1.15
ont	5	artifact	3-4	514	0.02335	0.001478	0.07309	1.2
ont	10	random	1-1	92272	0.9703	0.3459	0.3459	0.45
ont	10	random	2-2	2732	0.1772	0.0134	0.09867	1.12
ont	10	random	3-4	2004	0.000998	6.995e-6	0.06797	2.15
ont	10	random	5-8	456	0.0	2.024e-9	0.1095	-Inf
ont	10	artifact	1-1	92438	0.9698	0.3466	0.3466	0.45
ont	10	artifact	2-2	2466	0.1338	0.01249	0.08841	1.03
ont	10	artifact	3-4	2392	0.02174	0.0008047	0.07642	1.43
ont	10	artifact	5-8	306	0.05229	0.0004835	0.1474	2.03
ont	20	random	1-1	177444	0.9912	0.3562	0.3562	0.44
ont	20	random	2-2	3288	0.5657	0.04151	0.2212	1.13
ont	20	random	3-4	2946	0.01426	5.043e-5	0.06816	2.45
ont	20	random	5-8	2782	0.0	1.019e-9	0.1182	-Inf
ont	20	random	9-16	296	0.0	1.289e-16	0.1704	-Inf
ont	20	artifact	1-1	177632	0.9902	0.3569	0.3569	0.44
ont	20	artifact	2-2	3212	0.5479	0.04283	0.2125	1.11
ont	20	artifact	3-4	2880	0.008333	8.954e-6	0.07191	2.97
ont	20	artifact	5-8	2870	0.01882	4.325e-5	0.1327	2.64
ont	20	artifact	9-16	222	0.03604	6.328e-6	0.1951	3.76
ont	40	random	1-1	346608	0.9977	0.3618	0.3618	0.44
ont	40	random	2-2	7854	0.8872	0.07219	0.3433	1.09
ont	40	random	3-4	1944	0.1862	0.002811	0.1131	1.82
ont	40	random	5-8	2976	0.0	5.035e-10	0.1242	-Inf
ont	40	random	9-16	3376	0.0	5.922e-17	0.2108	-Inf
ont	40	random	17-inf	68	0.0	7.138000000000001e-31	0.3039	-Inf
ont	40	artifact	1-1	347578	0.9971	0.3625	0.3625	0.44
ont	40	artifact	2-2	7394	0.8612	0.07086	0.3339	1.08
ont	40	artifact	3-4	1824	0.2061	0.003231	0.1243	1.8
ont	40	artifact	5-8	3118	0.0	4.548e-10	0.1255	-Inf
ont	40	artifact	9-16	3348	0.01613	6.27e-8	0.2141	5.41
ont	40	artifact	17-inf	56	0.1429	6.301e-9	0.3922	7.36
