graph_id,graph_source,k,window_bases,n_observations,window_start,phase,replicate,elapsed_ms,algorithm,path_available,pair_hmm_path_valid,pair_hmm_valid,truncated,completed_columns,decoded_read_index,terminal_contract_valid,graph_step_trace_aligned,path_length_aligned,corrected_path_aligned,move_counts_aligned,path_trace_aligned,trace_complete,complete,full_decode,frontier_area,edge_expansions,peak_frontier
linear_2001,synthetic_linear,9,1200,1192,1,measurement,3,930.528875,viterbi_indel_pair_hmm,true,true,true,false,1192,1192,true,true,true,true,true,true,true,true,true,259356,376431,219
linear_2001,synthetic_linear,9,1200,1192,1,measurement,4,937.619167,viterbi_indel_pair_hmm,true,true,true,false,1192,1192,true,true,true,true,true,true,true,true,true,259356,376431,219
linear_2001,synthetic_linear,9,1200,1192,1,measurement,5,900.750709,viterbi_indel_pair_hmm,true,true,true,false,1192,1192,true,true,true,true,true,true,true,true,true,259356,376431,219
linear_10001,synthetic_linear,9,250,242,1,warmup,0,165.379708,viterbi_indel_pair_hmm,true,true,true,false,242,242,true,true,true,true,true,true,true,true,true,51306,74331,219
linear_10001,synthetic_linear,9,250,242,1,measurement,1,163.110208,viterbi_indel_pair_hmm,true,true,true,false,242,242,true,true,true,true,true,true,true,true,true,51306,74331,219
linear_10001,synthetic_linear,9,250,242,1,measurement,2,161.398334,viterbi_indel_pair_hmm,true,true,true,false,242,242,true,true,true,true,true,true,true,true,true,51306,74331,219
linear_10001,synthetic_linear,9,250,242,1,measurement,3,167.478209,viterbi_indel_pair_hmm,true,true,true,false,242,242,true,true,true,true,true,true,true,true,true,51306,74331,219
linear_10001,synthetic_linear,9,250,242,1,measurement,4,176.250917,viterbi_indel_pair_hmm,true,true,true,false,242,242,true,true,true,true,true,true,true,true,true,51306,74331,219
linear_10001,synthetic_linear,9,250,242,1,measurement,5,158.537791,viterbi_indel_pair_hmm,true,true,true,false,242,242,true,true,true,true,true,true,true,true,true,51306,74331,219
linear_10001,synthetic_linear,9,500,492,1,warmup,0,349.125875,viterbi_indel_pair_hmm,true,true,true,false,492,492,true,true,true,true,true,true,true,true,true,106056,153831,219
linear_10001,synthetic_linear,9,500,492,1,measurement,1,318.531084,viterbi_indel_pair_hmm,true,true,true,false,492,492,true,true,true,true,true,true,true,true,true,106056,153831,219
linear_10001,synthetic_linear,9,500,492,1,measurement,2,315.298041,viterbi_indel_pair_hmm,true,true,true,false,492,492,true,true,true,true,true,true,true,true,true,106056,153831,219
linear_10001,synthetic_linear,9,500,492,1,measurement,3,303.423041,viterbi_indel_pair_hmm,true,true,true,false,492,492,true,true,true,true,true,true,true,true,true,106056,153831,219
linear_10001,synthetic_linear,9,500,492,1,measurement,4,330.480208,viterbi_indel_pair_hmm,true,true,true,false,492,492,true,true,true,true,true,true,true,true,true,106056,153831,219
linear_10001,synthetic_linear,9,500,492,1,measurement,5,321.672209,viterbi_indel_pair_hmm,true,true,true,false,492,492,true,true,true,true,true,true,true,true,true,106056,153831,219
linear_10001,synthetic_linear,9,1200,1192,1,warmup,0,855.629209,viterbi_indel_pair_hmm,true,true,true,false,1192,1192,true,true,true,true,true,true,true,true,true,259356,376431,219
linear_10001,synthetic_linear,9,1200,1192,1,measurement,1,918.716458,viterbi_indel_pair_hmm,true,true,true,false,1192,1192,true,true,true,true,true,true,true,true,true,259356,376431,219
linear_10001,synthetic_linear,9,1200,1192,1,measurement,2,889.130917,viterbi_indel_pair_hmm,true,true,true,false,1192,1192,true,true,true,true,true,true,true,true,true,259356,376431,219
linear_10001,synthetic_linear,9,1200,1192,1,measurement,3,894.307333,viterbi_indel_pair_hmm,true,true,true,false,1192,1192,true,true,true,true,true,true,true,true,true,259356,376431,219
linear_10001,synthetic_linear,9,1200,1192,1,measurement,4,871.430875,viterbi_indel_pair_hmm,true,true,true,false,1192,1192,true,true,true,true,true,true,true,true,true,259356,376431,219
linear_10001,synthetic_linear,9,1200,1192,1,measurement,5,868.071834,viterbi_indel_pair_hmm,true,true,true,false,1192,1192,true,true,true,true,true,true,true,true,true,259356,376431,219
fixed_toy_k31_raw,raw_fixed_toy,31,250,220,1,warmup,0,2064.39675,viterbi_indel_pair_hmm,true,true,false,true,169,169,false,true,true,true,true,true,false,false,false,31815,45831,219
