organism	technology	k	coverage	n_seeds	n_measured_nga50	n_degenerate	median_nga50	median_genome_fraction	median_contigs	median_contigs_ge_min	median_max_contig	nga50_status_mix	outcome	median_wall_seconds
Lambda	ont	31	100	3	3	0	2451.0	96.775	135311.0	180.0	35647.0	measured	partial	186.236
T4	illumina	11	10	3	0	3	NA	NA	36907.0	0.0	129.0	no_contigs_ge_min	degenerate	15.897
T4	illumina	11	30	3	0	3	NA	NA	57130.0	0.0	121.0	no_contigs_ge_min	degenerate	62.01
T4	illumina	11	50	3	0	3	NA	NA	76463.0	0.0	106.0	no_contigs_ge_min	degenerate	106.611
T4	illumina	15	10	3	3	0	971.0	78.021	7486.0	241.0	2232.0	measured	partial	13.339
T4	illumina	15	30	3	3	0	1304.0	80.0	19676.0	255.0	3942.0	measured	partial	51.479
T4	illumina	15	50	3	3	0	1304.0	78.441	32521.0	254.0	3809.0	measured	partial	140.026
T4	illumina	21	10	3	3	0	1731.0	95.384	6860.0	252.0	4296.0	measured	partial	13.766
T4	illumina	21	30	3	3	0	18587.0	99.09	18536.0	63.0	25340.0	measured	substantial	49.686
T4	illumina	21	50	3	3	0	18587.0	98.928	30890.0	63.0	25340.0	measured	substantial	97.695
T4	illumina	31	10	3	3	0	1407.0	93.018	6760.0	273.0	2755.0	measured	partial	17.725
T4	illumina	31	30	3	3	0	48457.0	99.786	18157.0	31.0	52429.0	measured	substantial	51.085
T4	illumina	31	50	3	3	0	52429.0	99.791	30267.0	26.0	52429.0	measured	substantial	82.633
T4	ont	11	10	3	0	3	NA	NA	180036.0	0.0	117.0	no_contigs_ge_min	degenerate	37.09
T4	ont	11	30	3	0	3	NA	NA	379069.0	0.0	124.0	no_contigs_ge_min	degenerate	106.137
T4	ont	11	50	3	0	3	NA	NA	505006.0	0.0	110.0	no_contigs_ge_min	degenerate	217.455
T4	ont	15	10	3	0	3	NA	2.324	88034.0	15.0	2022.0	censored_no_alignment|censored_partial_alignment	degenerate	47.605
T4	ont	15	30	3	3	0	552.0	48.041	271091.0	186.0	2173.0	measured	partial	152.081
T4	ont	15	50	3	3	0	1003.0	74.978	478258.0	273.0	3792.0	measured	partial	494.133
T4	ont	21	10	3	0	3	NA	0.737	65914.0	6.0	4776.0	censored_partial_alignment	degenerate	49.831
T4	ont	21	30	3	3	0	544.0	46.619	186714.0	121.0	17876.0	measured	partial	229.112
T4	ont	21	50	3	3	0	1601.0	88.995	324825.0	222.0	17876.0	measured	partial	656.283
T4	ont	31	10	3	0	3	NA	0.363	46759.0	113.0	4776.0	censored_partial_alignment	degenerate	39.729
T4	ont	31	30	3	0	3	NA	21.757	127269.0	290.0	17876.0	censored_partial_alignment	degenerate	215.224
T4	ont	31	50	3	3	0	1017.0	72.012	217724.0	591.0	17876.0	measured	partial	503.41
